i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
0.001,0.095,0.0945,-0.048,-0.0465,0.095,-0.1175,-0.1,-0.0035,0.0815,0.1205,0.1165,0.007,0.199,-0.0655
0.002,0.1,0.0985,-0.051,-0.048,0.099,-0.1215,-0.1065,-0.008,0.078,0.1215,0.118,0.0065,0.2005,-0.0655
0.0015,0.1065,0.1055,-0.054,-0.0515,0.1055,-0.118,-0.097,-0.001,0.0875,0.1295,0.1275,0.0115,0.201,-0.068
0.0105,0.109,0.099,-0.06,-0.044,0.104,-0.12,-0.0955,0.0035,0.0925,0.131,0.1295,0.0165,0.198,-0.067
0.0,0.1025,0.103,-0.0515,-0.051,0.103,-0.1225,-0.1005,0.0025,0.0865,0.1285,0.13,0.021,0.1915,-0.0595
-0.0045,0.0915,0.096,-0.044,-0.05,0.094,-0.124,-0.0975,-0.004,0.075,0.1205,0.1235,0.0205,0.1875,-0.051
0.009,0.082,0.0735,-0.046,-0.032,0.0775,-0.131,-0.106,-0.0115,0.062,0.106,0.1105,0.0165,0.1805,-0.05
0.025,0.0825,0.0585,-0.054,-0.0165,0.0705,-0.13,-0.1055,-0.013,0.0595,0.0975,0.1055,0.0165,0.177,-0.05
0.028,0.0845,0.057,-0.0565,-0.0145,0.0705,-0.127,-0.0995,-0.012,0.065,0.1,0.1075,0.0195,0.1775,-0.049
0.0215,0.0775,0.0565,-0.0495,-0.017,0.067,-0.1255,-0.104,-0.0155,0.0655,0.098,0.106,0.0235,0.166,-0.0435
0.027,0.078,0.052,-0.053,-0.0125,0.065,-0.118,-0.0985,-0.0125,0.0705,0.1015,0.1105,0.025,0.1625,-0.039
0.0565,0.095,0.039,-0.076,0.009,0.067,-0.115,-0.0965,-0.011,0.0725,0.107,0.1175,0.0265,0.1555,-0.038
0.0335,0.0795,0.046,-0.057,-0.006,0.0625,-0.1175,-0.102,-0.0185,0.0645,0.1025,0.1135,0.0275,0.1555,-0.0365
0.0005,0.0435,0.043,-0.022,-0.021,0.043,-0.127,-0.1115,-0.0265,0.055,0.092,0.1025,0.029,0.165,-0.0395
0.006,0.047,0.0415,-0.0265,-0.0175,0.044,-0.1215,-0.106,-0.0215,0.0595,0.098,0.1045,0.028,0.1645,-0.0445
0.0295,0.0675,0.0385,-0.0485,-0.0045,0.0525,-0.108,-0.0915,-0.012,0.066,0.1065,0.1115,0.027,0.162,-0.047
0.0385,0.0595,0.0215,-0.049,0.0085,0.0405,-0.112,-0.098,-0.018,0.06,0.097,0.103,0.025,0.155,-0.0465
0.0185,0.0515,0.0335,-0.035,-0.007,0.042,-0.101,-0.092,-0.014,0.063,0.097,0.1035,0.023,0.16,-0.0475
0.0045,0.0535,0.049,-0.029,-0.022,0.051,-0.0825,-0.0765,-0.0015,0.0735,0.1045,0.1095,0.0205,0.153,-0.05
-0.019,0.032,0.051,-0.0065,-0.0345,0.0415,-0.082,-0.0795,-0.0055,0.069,0.0935,0.0985,0.014,0.1425,-0.052
-0.0175,0.027,0.0445,-0.005,-0.031,0.0355,-0.0825,-0.0845,-0.013,0.0595,0.081,0.087,0.0075,0.147,-0.0535
-0.009,0.0415,0.0505,-0.0165,-0.0295,0.046,-0.077,-0.0795,-0.01,0.0655,0.086,0.089,0.0055,0.149,-0.055
-0.0265,0.0285,0.0555,-0.001,-0.0405,0.0415,-0.0835,-0.0875,-0.0175,0.0635,0.0835,0.0865,0.0035,0.1495,-0.055
-0.0365,0.021,0.0575,0.008,-0.0465,0.039,-0.0875,-0.094,-0.0245,0.06,0.0815,0.0825,0.001,0.1405,-0.0515
-0.055,0.0105,0.0655,0.0225,-0.06,0.0375,-0.085,-0.0945,-0.027,0.0585,0.0795,0.078,-0.0015,0.135,-0.051
-0.078,-0.0005,0.078,0.039,-0.078,0.0385,-0.084,-0.0965,-0.0295,0.057,0.0795,0.076,-0.003,0.1345,-0.0505
-0.0755,0.004,0.08,0.036,-0.0775,0.042,-0.076,-0.089,-0.0265,0.0595,0.082,0.0785,-0.003,0.126,-0.0505
-0.064,0.009,0.073,0.0275,-0.0685,0.041,-0.068,-0.082,-0.0225,0.059,0.083,0.078,-0.003,0.125,-0.055
-0.025,0.036,0.061,-0.0055,-0.043,0.048,-0.0585,-0.071,-0.015,0.0625,0.088,0.0795,-0.0025,0.119,-0.06
-0.0085,0.0285,0.0365,-0.01,-0.022,0.032,-0.065,-0.076,-0.021,0.0495,0.076,0.068,-0.003,0.106,-0.0595
-0.036,0.0045,0.04,0.016,-0.038,0.022,-0.0665,-0.0775,-0.0215,0.047,0.0755,0.0705,-0.001,0.0945,-0.0555
-0.047,-0.003,0.044,0.025,-0.045,0.0205,-0.063,-0.075,-0.0245,0.0485,0.0775,0.072,-0.0025,0.087,-0.055
-0.052,-0.014,0.0375,0.033,-0.0445,0.0115,-0.0725,-0.0845,-0.038,0.0365,0.067,0.061,-0.003,0.089,-0.0515
-0.0425,-0.0095,0.033,0.026,-0.0375,0.0115,-0.0765,-0.088,-0.0425,0.033,0.065,0.0615,-0.002,0.0945,-0.0495
-0.0355,-0.0075,0.0285,0.0215,-0.032,0.0105,-0.072,-0.086,-0.0415,0.0335,0.0655,0.061,-0.004,0.096,-0.05
-0.0415,-0.015,0.026,0.028,-0.0335,0.005,-0.064,-0.08,-0.036,0.0375,0.0685,0.061,-0.004,0.0835,-0.051
-0.0365,-0.0175,0.019,0.027,-0.0275,0.0005,-0.065,-0.08,-0.0355,0.042,0.0705,0.0605,-0.002,0.0755,-0.055
-0.0435,-0.018,0.0255,0.0305,-0.034,0.0035,-0.059,-0.0775,-0.0325,0.0475,0.0745,0.062,-0.0025,0.076,-0.058
-0.065,-0.031,0.034,0.048,-0.0495,0.001,-0.0505,-0.068,-0.0305,0.0455,0.075,0.0625,-0.004,0.0695,-0.056
-0.052,-0.041,0.011,0.047,-0.0315,-0.0155,-0.054,-0.0735,-0.0385,0.0325,0.064,0.0545,-0.005,0.0625,-0.056
-0.038,-0.045,-0.0065,0.0415,-0.0155,-0.026,-0.054,-0.081,-0.048,0.0185,0.0505,0.0455,-0.0085,0.056,-0.0555
-0.047,-0.046,0.001,0.0465,-0.024,-0.023,-0.0525,-0.075,-0.045,0.0135,0.0445,0.0425,-0.011,0.0625,-0.0505
-0.054,-0.046,0.008,0.05,-0.031,-0.019,-0.048,-0.0685,-0.0375,0.0185,0.0455,0.047,-0.012,0.0685,-0.0495
-0.061,-0.047,0.014,0.054,-0.0375,-0.0165,-0.0485,-0.07,-0.038,0.0235,0.04,0.0455,-0.0125,0.063,-0.0475
-0.0585,-0.046,0.0125,0.052,-0.0355,-0.017,-0.0505,-0.072,-0.04,0.0235,0.034,0.04,-0.014,0.056,-0.046
-0.0585,-0.0445,0.014,0.0515,-0.036,-0.0155,-0.0495,-0.0705,-0.042,0.0205,0.0315,0.0375,-0.015,0.0555,-0.0465
-0.0575,-0.039,0.019,0.0485,-0.038,-0.0105,-0.051,-0.069,-0.039,0.02,0.033,0.0395,-0.0155,0.0525,-0.0455
-0.0585,-0.037,0.0215,0.048,-0.04,-0.008,-0.052,-0.069,-0.0385,0.0205,0.035,0.0415,-0.0165,0.054,-0.0455
-0.0605,-0.044,0.016,0.0525,-0.038,-0.0145,-0.054,-0.0725,-0.0415,0.019,0.0305,0.0395,-0.014,0.0605,-0.045
-0.071,-0.0505,0.02,0.061,-0.0455,-0.0155,-0.053,-0.069,-0.0385,0.0215,0.032,0.0405,-0.014,0.0575,-0.0445
-0.0765,-0.057,0.019,0.067,-0.0475,-0.0195,-0.0575,-0.0715,-0.0405,0.0225,0.0315,0.039,-0.015,0.0575,-0.0465
-0.0745,-0.06,0.0145,0.067,-0.044,-0.023,-0.061,-0.0745,-0.0435,0.0205,0.0335,0.0395,-0.0145,0.056,-0.045
-0.0655,-0.046,0.0195,0.0555,-0.042,-0.0135,-0.056,-0.069,-0.041,0.021,0.037,0.044,-0.015,0.0575,-0.044
-0.031,-0.0335,-0.0025,0.0325,-0.014,-0.018,-0.057,-0.0715,-0.043,0.02,0.036,0.0435,-0.0145,0.052,-0.045
-0.025,-0.038,-0.013,0.0315,-0.0055,-0.026,-0.0595,-0.0755,-0.0465,0.02,0.0365,0.042,-0.012,0.05,-0.0435
-0.0475,-0.047,0.0005,0.0475,-0.024,-0.0235,-0.0565,-0.0735,-0.0455,0.0255,0.0415,0.043,-0.0115,0.056,-0.045
-0.081,-0.052,0.0285,0.0665,-0.0545,-0.012,-0.0495,-0.066,-0.04,0.0325,0.0495,0.051,-0.0125,0.0625,-0.0455
-0.0785,-0.0495,0.0295,0.064,-0.054,-0.01,-0.0485,-0.067,-0.0405,0.0335,0.0515,0.0515,-0.0135,0.0615,-0.0455
-0.054,-0.051,0.003,0.0525,-0.0285,-0.024,-0.0575,-0.077,-0.0505,0.028,0.046,0.0435,-0.0145,0.051,-0.0445
-0.028,-0.042,-0.0135,0.035,-0.007,-0.028,-0.058,-0.0765,-0.0515,0.0265,0.0465,0.0425,-0.013,0.048,-0.0455
-0.016,-0.0445,-0.0285,0.0305,0.0065,-0.0365,-0.067,-0.082,-0.0575,0.022,0.0415,0.0355,-0.012,0.047,-0.049
-0.0365,-0.056,-0.0195,0.0465,-0.0085,-0.038,-0.0715,-0.085,-0.061,0.018,0.039,0.035,-0.011,0.047,-0.0465
-0.034,-0.0425,-0.0085,0.038,-0.0125,-0.0255,-0.0575,-0.0755,-0.051,0.025,0.0505,0.0445,-0.0115,0.0525,-0.0445
-0.0555,-0.036,0.019,0.0455,-0.037,-0.009,-0.05,-0.0645,-0.0405,0.033,0.0615,0.054,-0.0125,0.0595,-0.043
-0.0605,-0.033,0.027,0.047,-0.0435,-0.0035,-0.0475,-0.061,-0.0395,0.0325,0.0615,0.0555,-0.0135,0.051,-0.0405
-0.027,-0.0155,0.012,0.0215,-0.019,-0.002,-0.048,-0.0655,-0.044,0.0325,0.0585,0.052,-0.0145,0.043,-0.0415
-0.0425,-0.0195,0.023,0.031,-0.0325,0.0015,-0.046,-0.0655,-0.042,0.0365,0.059,0.0515,-0.015,0.0545,-0.0445
-0.057,-0.0375,0.019,0.047,-0.038,-0.0095,-0.057,-0.076,-0.0485,0.028,0.0535,0.0425,-0.012,0.0585,-0.046
-0.037,-0.0275,0.009,0.0325,-0.023,-0.0095,-0.0585,-0.075,-0.0525,0.021,0.0525,0.0415,-0.0125,0.0525,-0.047
-0.073,-0.06,0.013,0.0665,-0.043,-0.024,-0.062,-0.081,-0.06,0.011,0.045,0.035,-0.014,0.045,-0.0435
-0.081,-0.0805,0.0005,0.081,-0.0405,-0.0405,-0.073,-0.092,-0.064,0.002,0.0355,0.0305,-0.0115,0.0385,-0.0395
-0.05,-0.0595,-0.0095,0.055,-0.02,-0.035,-0.066,-0.0825,-0.0595,0.0045,0.0345,0.036,-0.0135,0.0535,-0.04
-0.0375,-0.0415,-0.004,0.0395,-0.0165,-0.023,-0.0575,-0.076,-0.054,0.009,0.0385,0.04,-0.0165,0.058,-0.041
-0.0255,-0.028,-0.0025,0.027,-0.0115,-0.0155,-0.051,-0.071,-0.0495,0.015,0.0435,0.043,-0.0175,0.0445,-0.042
-0.05,-0.0525,-0.0025,0.0515,-0.0235,-0.0275,-0.0625,-0.083,-0.059,0.008,0.037,0.036,-0.0145,0.043,-0.0425
-0.059,-0.064,-0.005,0.0615,-0.0265,-0.035,-0.0665,-0.0845,-0.061,0.006,0.0345,0.036,-0.013,0.0455,-0.0435
-0.0525,-0.053,-0.0005,0.053,-0.0255,-0.027,-0.061,-0.0795,-0.0575,0.0125,0.0405,0.0405,-0.013,0.05,-0.0435
-0.041,-0.042,-0.001,0.0415,-0.0195,-0.022,-0.0635,-0.082,-0.054,0.0155,0.044,0.0435,-0.0125,0.05,-0.0435
-0.035,-0.04,-0.005,0.0375,-0.015,-0.0225,-0.0605,-0.0765,-0.0505,0.019,0.0485,0.0465,-0.011,0.047,-0.043
-0.035,-0.0405,-0.0055,0.038,-0.0145,-0.0235,-0.0615,-0.0785,-0.0515,0.017,0.0465,0.048,-0.0095,0.059,-0.0435
-0.0355,-0.0395,-0.004,0.0375,-0.0155,-0.022,-0.0605,-0.077,-0.052,0.012,0.042,0.048,-0.011,0.063,-0.0435
-0.034,-0.0355,-0.0015,0.0345,-0.016,-0.019,-0.057,-0.076,-0.0505,0.014,0.04,0.0455,-0.0135,0.053,-0.0455
-0.038,-0.037,0.001,0.0375,-0.019,-0.018,-0.0535,-0.0745,-0.048,0.02,0.038,0.0465,-0.0155,0.0485,-0.0475
-0.045,-0.0395,0.0055,0.0425,-0.025,-0.0175,-0.053,-0.071,-0.045,0.0255,0.0405,0.047,-0.0155,0.0465,-0.046
-0.062,-0.045,0.017,0.0535,-0.0395,-0.014,-0.054,-0.069,-0.041,0.031,0.0435,0.0505,-0.0125,0.045,-0.0425
-0.0795,-0.048,0.0315,0.0635,-0.0555,-0.0085,-0.049,-0.0645,-0.037,0.036,0.045,0.0555,-0.011,0.053,-0.0395
-0.055,-0.0405,0.0145,0.0475,-0.0345,-0.013,-0.047,-0.065,-0.0365,0.0365,0.0425,0.0535,-0.012,0.056,-0.038
-0.053,-0.045,0.0075,0.049,-0.03,-0.019,-0.0465,-0.069,-0.0415,0.031,0.0395,0.0515,-0.012,0.054,-0.035
-0.046,-0.0445,0.0015,0.0455,-0.0235,-0.022,-0.0495,-0.0745,-0.0465,0.025,0.0335,0.047,-0.0135,0.0615,-0.0365
-0.04,-0.0455,-0.0055,0.043,-0.017,-0.026,-0.047,-0.074,-0.0465,0.026,0.032,0.044,-0.0165,0.0535,-0.04
-0.0615,-0.049,0.0125,0.0555,-0.0365,-0.0185,-0.037,-0.067,-0.039,0.032,0.037,0.048,-0.0185,0.0465,-0.045
-0.0755,-0.051,0.0245,0.0635,-0.05,-0.0135,-0.0285,-0.0615,-0.0325,0.037,0.0405,0.0485,-0.024,0.052,-0.051
-0.0775,-0.052,0.0255,0.065,-0.051,-0.0135,-0.02,-0.0615,-0.033,0.037,0.04,0.0455,-0.028,0.053,-0.057
-0.0725,-0.056,0.0165,0.0645,-0.0445,-0.02,-0.013,-0.0585,-0.0325,0.0385,0.038,0.0395,-0.032,0.0535,-0.067
-0.083,-0.07,0.013,0.0765,-0.048,-0.0285,-0.001,-0.052,-0.0355,0.037,0.0355,0.0315,-0.039,0.045,-0.0705
-0.1045,-0.082,0.022,0.093,-0.063,-0.03,0.015,-0.0455,-0.0395,0.0305,0.0295,0.0265,-0.048,0.038,-0.0715
-0.1255,-0.093,0.033,0.1095,-0.079,-0.0305,0.035,-0.032,-0.0415,0.027,0.0275,0.019,-0.058,0.039,-0.0755
-0.136,-0.1075,0.0285,0.1215,-0.082,-0.0395,0.052,-0.0195,-0.052,0.0145,0.0175,0.0055,-0.069,0.033,-0.0765
-0.159,-0.1305,0.0285,0.145,-0.0935,-0.0515,0.079,-0.0015,-0.057,-0.0005,0.0025,-0.0085,-0.0845,0.008,-0.0725
-0.172,-0.1525,0.0195,0.162,-0.0955,-0.0665,0.1085,0.0225,-0.0595,-0.017,-0.013,-0.0245,-0.0985,-0.0165,-0.069
-0.1805,-0.1695,0.011,0.175,-0.0955,-0.0795,0.127,0.039,-0.066,-0.0365,-0.031,-0.0405,-0.109,-0.029,-0.064
-0.201,-0.1885,0.013,0.1945,-0.1065,-0.088,0.15,0.061,-0.0675,-0.0515,-0.0455,-0.0555,-0.1215,-0.0535,-0.0585
-0.203,-0.2015,0.002,0.202,-0.1025,-0.1,0.1845,0.1015,-0.0535,-0.056,-0.0575,-0.069,-0.133,-0.0735,-0.061
-0.2095,-0.216,-0.006,0.213,-0.1015,-0.1115,0.216,0.14,-0.0315,-0.0565,-0.0695,-0.081,-0.1415,-0.0785,-0.0675
-0.2245,-0.2295,-0.005,0.227,-0.1095,-0.1175,0.246,0.1795,-0.0065,-0.0515,-0.0825,-0.0935,-0.1505,-0.0895,-0.075
-0.233,-0.24,-0.0075,0.2365,-0.1125,-0.124,0.2745,0.217,0.028,-0.04,-0.0905,-0.1035,-0.1575,-0.094,-0.084
-0.2395,-0.258,-0.0185,0.2485,-0.1105,-0.1385,0.293,0.2555,0.0695,-0.026,-0.0975,-0.1135,-0.1595,-0.1015,-0.094
-0.2495,-0.277,-0.0275,0.263,-0.1105,-0.1525,0.3235,0.308,0.115,-0.0115,-0.108,-0.125,-0.163,-0.1165,-0.1035
-0.2595,-0.303,-0.044,0.281,-0.1075,-0.1735,0.355,0.3605,0.16,0.0,-0.122,-0.1375,-0.164,-0.1355,-0.1115
-0.2565,-0.32,-0.0635,0.288,-0.0965,-0.192,0.381,0.4245,0.2185,0.026,-0.1275,-0.1465,-0.1615,-0.1665,-0.117
-0.2375,-0.328,-0.0905,0.283,-0.0735,-0.2095,0.3885,0.473,0.2755,0.062,-0.117,-0.1455,-0.1475,-0.186,-0.1235
-0.2275,-0.3405,-0.113,0.284,-0.057,-0.227,0.3975,0.5175,0.3235,0.0945,-0.1085,-0.145,-0.1365,-0.196,-0.1285
-0.2015,-0.3545,-0.153,0.278,-0.024,-0.254,0.413,0.5675,0.3665,0.1095,-0.1175,-0.159,-0.133,-0.2155,-0.1275
-0.1275,-0.34,-0.2125,0.2335,0.043,-0.2765,0.4125,0.6115,0.4185,0.134,-0.114,-0.159,-0.1175,-0.2315,-0.125
-0.1045,-0.34,-0.2355,0.2225,0.066,-0.288,0.4205,0.6735,0.496,0.1835,-0.0945,-0.15,-0.097,-0.238,-0.134
-0.11,-0.3765,-0.2665,0.2435,0.0785,-0.322,0.414,0.7295,0.5635,0.22,-0.089,-0.154,-0.0745,-0.2545,-0.139
-0.057,-0.3725,-0.3155,0.2145,0.1295,-0.3445,0.4055,0.773,0.6225,0.2565,-0.0745,-0.147,-0.049,-0.2655,-0.136
-0.026,-0.3755,-0.3495,0.2005,0.162,-0.3625,0.419,0.847,0.724,0.3155,-0.057,-0.142,-0.029,-0.2765,-0.1445
-0.01,-0.3845,-0.374,0.1975,0.182,-0.3795,0.433,0.9255,0.84,0.38,-0.0405,-0.1395,-0.011,-0.2905,-0.157
0.0355,-0.366,-0.4015,0.1655,0.219,-0.384,0.4355,0.992,0.9485,0.45,-0.0105,-0.119,0.019,-0.291,-0.165
0.079,-0.359,-0.438,0.14,0.259,-0.399,0.432,1.052,1.045,0.5015,0.006,-0.1095,0.043,-0.297,-0.169
0.118,-0.3485,-0.4665,0.115,0.2925,-0.408,0.415,1.098,1.1255,0.551,0.025,-0.096,0.07,-0.3005,-0.167
0.1645,-0.334,-0.498,0.085,0.3315,-0.4165,0.3915,1.146,1.218,0.6185,0.0555,-0.071,0.108,-0.3055,-0.166
0.2015,-0.327,-0.529,0.0625,0.3655,-0.4285,0.369,1.1755,1.2965,0.675,0.0785,-0.057,0.138,-0.3175,-0.164
0.2415,-0.3175,-0.5595,0.038,0.4005,-0.439,0.3235,1.1745,1.3665,0.7365,0.1055,-0.038,0.1765,-0.31,-0.1605
0.319,-0.2995,-0.6185,-0.01,0.469,-0.459,0.275,1.1755,1.4475,0.795,0.1235,-0.028,0.215,-0.285,-0.1675
0.3595,-0.289,-0.6485,-0.035,0.504,-0.469,0.251,1.1795,1.491,0.8145,0.1255,-0.0225,0.23,-0.2865,-0.162
0.3625,-0.283,-0.646,-0.0395,0.5045,-0.465,0.2295,1.164,1.503,0.8115,0.122,-0.0155,0.2335,-0.291,-0.1485
0.3875,-0.263,-0.6505,-0.0625,0.5195,-0.457,0.202,1.141,1.517,0.806,0.118,-0.01,0.24,-0.277,-0.138
0.408,-0.2435,-0.652,-0.082,0.5305,-0.448,0.1515,1.08,1.501,0.795,0.114,-0.0015,0.249,-0.2655,-0.1195
0.4215,-0.223,-0.6445,-0.0995,0.5335,-0.434,0.0945,0.9885,1.4715,0.795,0.123,0.0145,0.2605,-0.238,-0.111
0.4205,-0.2005,-0.621,-0.11,0.521,-0.411,0.043,0.8945,1.4305,0.7865,0.1355,0.037,0.2705,-0.217,-0.096
0.4255,-0.1655,-0.591,-0.13,0.5085,-0.3785,-0.022,0.763,1.348,0.755,0.1485,0.064,0.281,-0.1915,-0.0685
0.441,-0.141,-0.582,-0.15,0.5115,-0.3615,-0.0825,0.6365,1.2485,0.7075,0.146,0.0805,0.289,-0.1555,-0.0425
0.4625,-0.126,-0.5885,-0.168,0.5255,-0.3575,-0.145,0.526,1.138,0.6465,0.1285,0.0865,0.291,-0.1415,-0.0085
0.4845,-0.096,-0.5805,-0.194,0.5325,-0.3385,-0.1845,0.421,1.0315,0.586,0.115,0.097,0.2825,-0.1375,0.0295
0.4725,-0.099,-0.571,-0.187,0.522,-0.3355,-0.224,0.3075,0.903,0.4985,0.082,0.093,0.267,-0.131,0.0685
0.421,-0.126,-0.547,-0.1475,0.4845,-0.337,-0.279,0.133,0.6985,0.383,0.043,0.0835,0.249,-0.111,0.113
0.3565,-0.157,-0.5135,-0.1,0.4355,-0.3355,-0.312,-0.0515,0.444,0.242,-0.0015,0.0705,0.2135,-0.101,0.163
0.3245,-0.17,-0.495,-0.0775,0.41,-0.3325,-0.3245,-0.188,0.1855,0.0755,-0.0555,0.0525,0.1705,-0.109,0.2165
0.3,-0.1795,-0.48,-0.0605,0.39,-0.33,-0.3265,-0.2805,-0.038,-0.082,-0.1045,0.0345,0.1315,-0.1115,0.2695
0.272,-0.219,-0.491,-0.0265,0.382,-0.355,-0.325,-0.3455,-0.2345,-0.2375,-0.1675,0.002,0.0905,-0.131,0.3315
0.252,-0.2645,-0.517,0.0065,0.385,-0.391,-0.309,-0.3895,-0.3915,-0.369,-0.23,-0.0315,0.0535,-0.1615,0.3855
0.235,-0.303,-0.538,0.034,0.387,-0.421,-0.294,-0.4135,-0.4925,-0.4545,-0.276,-0.0585,0.0255,-0.1845,0.423
0.2465,-0.324,-0.57,0.0385,0.4085,-0.447,-0.2915,-0.434,-0.5655,-0.5245,-0.3155,-0.08,0.0085,-0.1975,0.452
0.252,-0.346,-0.598,0.047,0.4255,-0.4725,-0.294,-0.4405,-0.593,-0.562,-0.345,-0.0965,-0.001,-0.2065,0.468
0.253,-0.3745,-0.6275,0.0605,0.4405,-0.501,-0.285,-0.433,-0.594,-0.5785,-0.3725,-0.116,-0.0125,-0.2215,0.4825
0.2615,-0.393,-0.6545,0.066,0.458,-0.524,-0.2735,-0.44,-0.6115,-0.601,-0.397,-0.134,-0.0235,-0.237,0.4945
0.2455,-0.4115,-0.657,0.083,0.4515,-0.5345,-0.2585,-0.4425,-0.6345,-0.6185,-0.4165,-0.151,-0.04,-0.25,0.5005
0.2275,-0.436,-0.6635,0.104,0.446,-0.55,-0.231,-0.438,-0.6605,-0.6435,-0.4425,-0.172,-0.0615,-0.2655,0.5115
0.2125,-0.4715,-0.6845,0.1295,0.449,-0.5785,-0.2,-0.429,-0.69,-0.673,-0.476,-0.1995,-0.086,-0.297,0.525
0.204,-0.496,-0.7,0.146,0.4525,-0.5985,-0.1745,-0.416,-0.7155,-0.6935,-0.502,-0.225,-0.107,-0.3185,0.532
0.1945,-0.5145,-0.709,0.16,0.452,-0.612,-0.154,-0.405,-0.7425,-0.717,-0.5205,-0.243,-0.122,-0.3245,0.54
0.177,-0.5265,-0.7035,0.175,0.4405,-0.6155,-0.123,-0.3895,-0.7595,-0.73,-0.53,-0.257,-0.14,-0.3205,0.5395
0.171,-0.5235,-0.6945,0.1765,0.433,-0.609,-0.1005,-0.3745,-0.776,-0.742,-0.5375,-0.264,-0.154,-0.313,0.5365
0.137,-0.5435,-0.6805,0.203,0.409,-0.6125,-0.074,-0.3595,-0.7965,-0.762,-0.555,-0.2815,-0.177,-0.316,0.529
0.1075,-0.541,-0.6485,0.2165,0.3785,-0.5945,-0.0335,-0.3315,-0.79,-0.7565,-0.5555,-0.29,-0.198,-0.301,0.5075
0.11,-0.5145,-0.6245,0.202,0.3675,-0.5695,0.006,-0.293,-0.7655,-0.7355,-0.5425,-0.2805,-0.2055,-0.288,0.4855
0.1115,-0.4785,-0.59,0.1835,0.351,-0.5345,0.0515,-0.2485,-0.726,-0.701,-0.5165,-0.2665,-0.2155,-0.27,0.454
0.0895,-0.446,-0.5355,0.178,0.3125,-0.491,0.081,-0.2215,-0.696,-0.67,-0.493,-0.254,-0.225,-0.2285,0.4195
0.0365,-0.4565,-0.493,0.21,0.265,-0.475,0.093,-0.2225,-0.6955,-0.6645,-0.4885,-0.2575,-0.2325,-0.2025,0.398
0.0055,-0.456,-0.4615,0.2255,0.2335,-0.459,0.115,-0.2085,-0.686,-0.6535,-0.48,-0.259,-0.24,-0.183,0.376
-0.03,-0.4525,-0.4225,0.2415,0.1965,-0.438,0.1575,-0.163,-0.6565,-0.6315,-0.4655,-0.2565,-0.2515,-0.1655,0.346
-0.044,-0.439,-0.395,0.2415,0.1755,-0.417,0.1975,-0.1255,-0.635,-0.6145,-0.451,-0.255,-0.2605,-0.159,0.3215
-0.0675,-0.419,-0.351,0.2435,0.142,-0.3855,0.2355,-0.0935,-0.613,-0.5945,-0.431,-0.2465,-0.2675,-0.1385,0.2945
-0.1085,-0.4095,-0.301,0.259,0.0965,-0.3555,0.2785,-0.053,-0.5695,-0.56,-0.408,-0.2405,-0.2745,-0.105,0.2535
-0.099,-0.38,-0.281,0.2395,0.0915,-0.331,0.318,-0.0255,-0.53,-0.526,-0.389,-0.235,-0.277,-0.077,0.2125
-0.12,-0.354,-0.234,0.237,0.057,-0.2945,0.3725,0.011,-0.492,-0.492,-0.366,-0.224,-0.283,-0.045,0.174
-0.1545,-0.3345,-0.18,0.2445,0.013,-0.2575,0.432,0.0535,-0.4505,-0.4565,-0.343,-0.212,-0.289,-0.022,0.1365
-0.184,-0.319,-0.135,0.2515,-0.0245,-0.2275,0.49,0.0885,-0.419,-0.4275,-0.321,-0.2015,-0.296,-0.0085,0.104
-0.198,-0.312,-0.1135,0.255,-0.042,-0.213,0.5365,0.118,-0.408,-0.4135,-0.3085,-0.195,-0.302,-0.003,0.078
-0.216,-0.3095,-0.0935,0.2625,-0.061,-0.2015,0.585,0.1475,-0.3935,-0.399,-0.2975,-0.189,-0.3055,0.0025,0.0545
-0.249,-0.3165,-0.0675,0.283,-0.0905,-0.1925,0.6365,0.1735,-0.3815,-0.39,-0.2915,-0.189,-0.3115,0.0105,0.033
-0.2685,-0.324,-0.056,0.2965,-0.106,-0.19,0.677,0.1825,-0.3915,-0.402,-0.299,-0.195,-0.321,0.0045,0.024
-0.2895,-0.3245,-0.035,0.307,-0.127,-0.18,0.728,0.1935,-0.397,-0.4055,-0.2965,-0.196,-0.332,0.0125,0.0025
-0.313,-0.329,-0.016,0.321,-0.1485,-0.173,0.781,0.213,-0.3945,-0.3955,-0.2825,-0.1905,-0.337,0.0065,-0.0195
-0.342,-0.343,-0.001,0.3425,-0.17,-0.1725,0.8225,0.221,-0.3985,-0.392,-0.2765,-0.1895,-0.3405,-0.005,-0.029
-0.3575,-0.3435,0.014,0.3505,-0.1855,-0.165,0.852,0.2235,-0.397,-0.382,-0.265,-0.1865,-0.342,0.011,-0.0465
-0.387,-0.3345,0.0525,0.3605,-0.2195,-0.141,0.8915,0.233,-0.383,-0.3595,-0.2425,-0.1725,-0.341,0.0175,-0.066
-0.38,-0.3195,0.0605,0.3495,-0.22,-0.1295,0.893,0.2135,-0.3835,-0.348,-0.234,-0.1665,-0.3395,0.0315,-0.0895
-0.3855,-0.3115,0.074,0.3485,-0.2295,-0.119,0.8815,0.1755,-0.3945,-0.3455,-0.229,-0.164,-0.342,0.0465,-0.107
-0.419,-0.306,0.1135,0.3625,-0.266,-0.0965,0.8915,0.158,-0.3925,-0.3325,-0.214,-0.1535,-0.3435,0.051,-0.124
