Time (s),i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
3.138,-0.123,0.021,0.144,0.0505,-0.1335,0.082,-0.106,-0.316,-0.349,-0.212,-0.0175,-0.12,-0.022,0.111,0.096
3.139,-0.1125,0.0285,0.141,0.0415,-0.1265,0.084,-0.104,-0.298,-0.333,-0.2,-0.0115,-0.1155,-0.0125,0.118,0.101
3.14,-0.1125,0.0305,0.1435,0.0405,-0.1275,0.0865,-0.0945,-0.276,-0.311,-0.183,0.001,-0.108,-0.0065,0.1185,0.0965
3.141,-0.1185,0.0225,0.141,0.0475,-0.1295,0.0815,-0.082,-0.2505,-0.2875,-0.164,0.013,-0.099,0.0005,0.1125,0.091
3.142,-0.133,0.0185,0.1515,0.057,-0.142,0.0845,-0.075,-0.2325,-0.269,-0.1485,0.0235,-0.0895,0.0085,0.118,0.0905
3.143,-0.15,0.015,0.165,0.0675,-0.1575,0.0895,-0.0715,-0.2205,-0.257,-0.1395,0.0275,-0.0875,0.013,0.118,0.085
3.144,-0.1485,0.01,0.1585,0.069,-0.153,0.0835,-0.0665,-0.2105,-0.247,-0.1335,0.0305,-0.0855,0.0205,0.117,0.0805
3.145,-0.1125,0.0115,0.1235,0.05,-0.118,0.067,-0.064,-0.203,-0.238,-0.1265,0.0355,-0.082,0.028,0.117,0.0645
3.146,-0.084,0.012,0.096,0.0355,-0.0895,0.0535,-0.0615,-0.194,-0.2295,-0.12,0.04,-0.079,0.0335,0.1075,0.0505
3.147,-0.0615,0.0155,0.077,0.023,-0.069,0.0455,-0.062,-0.1905,-0.226,-0.1195,0.04,-0.0785,0.0405,0.098,0.0455
3.148,-0.043,0.03,0.0735,0.006,-0.058,0.051,-0.0635,-0.19,-0.224,-0.1155,0.04,-0.08,0.0435,0.0925,0.0365
3.149,-0.093,0.05,0.143,0.0215,-0.118,0.096,-0.049,-0.1735,-0.2085,-0.0995,0.0545,-0.067,0.046,0.107,0.028
3.15,-0.131,0.0505,0.1815,0.04,-0.156,0.1155,-0.05,-0.1695,-0.205,-0.0965,0.059,-0.065,0.0505,0.1205,0.02
3.151,-0.132,0.0265,0.1585,0.0525,-0.145,0.092,-0.059,-0.177,-0.2105,-0.1005,0.0545,-0.071,0.0505,0.107,0.0155
3.152,-0.1175,0.01,0.1275,0.0535,-0.122,0.0685,-0.066,-0.181,-0.214,-0.1065,0.0485,-0.076,0.054,0.1,0.008
3.153,-0.087,0.0155,0.1025,0.0355,-0.0945,0.0585,-0.072,-0.185,-0.2155,-0.108,0.0435,-0.0805,0.0555,0.107,-0.001
3.154,-0.0685,0.035,0.104,0.0165,-0.086,0.069,-0.069,-0.1815,-0.2115,-0.1035,0.047,-0.077,0.0555,0.117,-0.0025
3.155,-0.06,0.044,0.1045,0.008,-0.082,0.0735,-0.069,-0.175,-0.206,-0.099,0.051,-0.075,0.0555,0.1105,0.0005
3.156,-0.0705,0.0435,0.1145,0.0135,-0.0925,0.0785,-0.058,-0.1635,-0.1925,-0.0855,0.0615,-0.0655,0.056,0.1035,0.012
3.157,-0.083,0.0415,0.1245,0.0205,-0.1035,0.082,-0.052,-0.1585,-0.184,-0.081,0.0675,-0.0595,0.0575,0.107,0.02
3.158,-0.0965,0.042,0.138,0.027,-0.117,0.0895,-0.0545,-0.1595,-0.1825,-0.0815,0.0655,-0.0625,0.0545,0.115,0.0205
3.159,-0.0845,0.047,0.1315,0.0185,-0.1075,0.089,-0.0595,-0.1635,-0.187,-0.085,0.062,-0.066,0.0565,0.127,0.027
3.16,-0.0355,0.0615,0.0975,-0.0135,-0.066,0.079,-0.0695,-0.172,-0.1945,-0.0935,0.055,-0.072,0.0555,0.1425,0.035
3.161,-0.0355,0.085,0.1205,-0.025,-0.078,0.1025,-0.062,-0.1665,-0.1915,-0.089,0.061,-0.067,0.054,0.1515,0.044
3.162,-0.0625,0.0935,0.156,-0.016,-0.109,0.124,-0.05,-0.1545,-0.1805,-0.0775,0.075,-0.0525,0.0565,0.1405,0.0405
3.163,-0.064,0.09,0.154,-0.013,-0.109,0.1215,-0.05,-0.153,-0.18,-0.0775,0.0755,-0.051,0.0555,0.139,0.0375
3.164,-0.0675,0.066,0.133,0.0005,-0.1,0.099,-0.0605,-0.164,-0.193,-0.09,0.0635,-0.064,0.056,0.141,0.044
3.165,-0.0745,0.0475,0.122,0.013,-0.0975,0.084,-0.0655,-0.1705,-0.1965,-0.093,0.06,-0.0675,0.0555,0.138,0.0495
3.166,-0.098,0.052,0.15,0.0225,-0.1235,0.1005,-0.054,-0.158,-0.1845,-0.08,0.0725,-0.056,0.0575,0.139,0.0545
3.167,-0.1115,0.052,0.164,0.0295,-0.1375,0.1075,-0.0465,-0.1485,-0.175,-0.0695,0.0825,-0.046,0.06,0.126,0.0475
3.168,-0.0955,0.057,0.1525,0.019,-0.124,0.1045,-0.0455,-0.1455,-0.172,-0.067,0.086,-0.043,0.06,0.123,0.051
3.169,-0.0585,0.067,0.1255,-0.0045,-0.0915,0.096,-0.0475,-0.145,-0.174,-0.069,0.085,-0.0465,0.06,0.123,0.044
3.17,-0.027,0.065,0.092,-0.0195,-0.0595,0.078,-0.0535,-0.1475,-0.1785,-0.0705,0.0805,-0.049,0.0625,0.1105,0.0325
3.171,-0.0285,0.0575,0.086,-0.0145,-0.057,0.0715,-0.0555,-0.1485,-0.1795,-0.074,0.0785,-0.05,0.064,0.1075,0.03
3.172,-0.0415,0.055,0.0965,-0.007,-0.069,0.0755,-0.0555,-0.1485,-0.177,-0.074,0.0775,-0.053,0.0615,0.1005,0.016
3.173,-0.0635,0.0525,0.116,0.005,-0.0895,0.084,-0.0565,-0.149,-0.1775,-0.076,0.0735,-0.057,0.06,0.089,0.014
3.174,-0.079,0.039,0.118,0.02,-0.0985,0.078,-0.0595,-0.151,-0.178,-0.08,0.0685,-0.0625,0.058,0.0905,0.0185
3.175,-0.077,0.0385,0.1155,0.019,-0.096,0.0765,-0.0565,-0.1465,-0.173,-0.075,0.0685,-0.061,0.0565,0.0935,0.02
3.176,-0.062,0.051,0.1125,0.005,-0.087,0.081,-0.055,-0.145,-0.17,-0.0735,0.067,-0.0615,0.058,0.101,0.025
3.177,-0.046,0.055,0.101,-0.005,-0.0735,0.0775,-0.058,-0.1475,-0.1715,-0.0765,0.064,-0.0655,0.0585,0.118,0.0235
3.178,-0.044,0.056,0.1,-0.0065,-0.072,0.0775,-0.061,-0.1495,-0.173,-0.0765,0.063,-0.067,0.058,0.1235,0.0165
3.179,-0.0505,0.055,0.106,-0.0025,-0.078,0.08,-0.062,-0.151,-0.173,-0.077,0.0625,-0.068,0.0565,0.128,0.018
3.18,-0.0675,0.0485,0.116,0.009,-0.0915,0.082,-0.0575,-0.145,-0.1675,-0.072,0.0675,-0.063,0.0555,0.1265,0.0165
3.181,-0.0715,0.041,0.1125,0.0155,-0.0915,0.076,-0.0585,-0.1445,-0.167,-0.071,0.067,-0.0635,0.0565,0.12,0.015
3.182,-0.0515,0.0515,0.103,0.0,-0.077,0.0765,-0.063,-0.1465,-0.1695,-0.0715,0.064,-0.068,0.0595,0.126,0.011
3.183,-0.052,0.051,0.1025,0.0005,-0.077,0.076,-0.0605,-0.1435,-0.166,-0.0655,0.069,-0.0635,0.062,0.125,0.0105
3.184,-0.0745,0.044,0.1185,0.015,-0.096,0.0805,-0.049,-0.132,-0.1575,-0.0555,0.08,-0.054,0.063,0.121,0.0145
3.185,-0.064,0.059,0.123,0.002,-0.0935,0.0905,-0.051,-0.133,-0.1575,-0.055,0.079,-0.0535,0.0635,0.1225,0.01
3.186,-0.032,0.0635,0.096,-0.016,-0.0635,0.079,-0.061,-0.1415,-0.1645,-0.06,0.072,-0.0615,0.0655,0.112,0.011
3.187,-0.021,0.07,0.091,-0.025,-0.056,0.08,-0.0595,-0.14,-0.1615,-0.0575,0.074,-0.0615,0.0655,0.1165,0.007
3.188,-0.0305,0.077,0.1075,-0.0235,-0.069,0.0915,-0.0565,-0.1355,-0.1545,-0.0515,0.0805,-0.0575,0.065,0.1195,0.0
3.189,-0.0375,0.066,0.1035,-0.0145,-0.0705,0.084,-0.0475,-0.129,-0.149,-0.0455,0.087,-0.055,0.065,0.1015,-0.002
3.19,-0.0455,0.056,0.102,-0.0055,-0.0735,0.0785,-0.043,-0.128,-0.145,-0.044,0.0885,-0.0535,0.0625,0.1035,-0.0165
3.191,-0.0495,0.0625,0.112,-0.0065,-0.0805,0.0865,-0.0455,-0.1245,-0.142,-0.044,0.0885,-0.053,0.0635,0.107,-0.019
3.192,-0.0375,0.0785,0.116,-0.0205,-0.0765,0.0965,-0.0505,-0.129,-0.145,-0.05,0.0815,-0.0605,0.0635,0.1125,-0.017
3.193,-0.028,0.075,0.103,-0.024,-0.0655,0.0885,-0.051,-0.1295,-0.144,-0.053,0.079,-0.0605,0.0625,0.118,-0.017
3.194,-0.0365,0.0675,0.104,-0.016,-0.07,0.0855,-0.041,-0.119,-0.1365,-0.047,0.084,-0.0565,0.059,0.1165,-0.0095
3.195,-0.0385,0.063,0.102,-0.0125,-0.0705,0.082,-0.0405,-0.1195,-0.135,-0.0435,0.0845,-0.0575,0.061,0.1205,-0.0105
3.196,-0.034,0.06,0.094,-0.0135,-0.064,0.0765,-0.045,-0.121,-0.137,-0.046,0.083,-0.059,0.0665,0.126,-0.0085
3.197,-0.042,0.0595,0.1015,-0.009,-0.0715,0.08,-0.0445,-0.122,-0.138,-0.048,0.08,-0.065,0.0645,0.127,-0.008
3.198,-0.031,0.057,0.088,-0.013,-0.0595,0.072,-0.047,-0.1215,-0.14,-0.0495,0.077,-0.065,0.063,0.121,-0.0055
3.199,-0.0245,0.0645,0.0895,-0.0205,-0.057,0.0765,-0.047,-0.1175,-0.1375,-0.047,0.0805,-0.063,0.06,0.1235,0.001
3.2,-0.0545,0.052,0.106,0.001,-0.08,0.0785,-0.0405,-0.1115,-0.132,-0.0405,0.087,-0.0605,0.057,0.1175,0.0075
3.201,-0.055,0.0545,0.1095,0.0,-0.082,0.0815,-0.034,-0.1025,-0.1245,-0.033,0.0925,-0.0545,0.057,0.107,0.015
3.202,-0.0445,0.0815,0.1255,-0.019,-0.0845,0.103,-0.0335,-0.099,-0.118,-0.026,0.099,-0.0505,0.058,0.121,0.0065
3.203,-0.046,0.079,0.125,-0.0165,-0.085,0.1015,-0.039,-0.103,-0.1195,-0.0275,0.097,-0.053,0.06,0.1265,0.0055
3.204,-0.044,0.071,0.115,-0.014,-0.079,0.0925,-0.0395,-0.1035,-0.119,-0.0265,0.0965,-0.053,0.063,0.129,0.0175
3.205,-0.0495,0.06,0.1095,-0.0055,-0.079,0.0845,-0.044,-0.109,-0.1245,-0.0315,0.0915,-0.0595,0.0635,0.133,0.013
3.206,-0.036,0.061,0.097,-0.013,-0.066,0.0785,-0.049,-0.1145,-0.13,-0.037,0.086,-0.0635,0.0625,0.126,0.004
3.207,-0.0445,0.0555,0.1005,-0.006,-0.0725,0.0775,-0.0545,-0.1135,-0.1295,-0.0395,0.086,-0.0645,0.0635,0.1255,0.001
3.208,-0.0455,0.054,0.099,-0.005,-0.072,0.076,-0.0485,-0.1065,-0.123,-0.035,0.0895,-0.061,0.065,0.121,-0.0025
3.209,-0.025,0.0675,0.0925,-0.0215,-0.0585,0.0795,-0.039,-0.096,-0.1115,-0.0265,0.0975,-0.0515,0.07,0.1045,0.0045
3.21,-0.032,0.06,0.092,-0.0145,-0.062,0.0755,-0.041,-0.0965,-0.1095,-0.026,0.095,-0.0535,0.072,0.099,0.006
3.211,-0.04,0.059,0.0995,-0.01,-0.0695,0.079,-0.0365,-0.094,-0.108,-0.022,0.096,-0.0515,0.0675,0.101,-0.0105
3.212,-0.0415,0.047,0.0885,-0.003,-0.0645,0.0675,-0.0465,-0.101,-0.1135,-0.0315,0.0875,-0.0605,0.067,0.1015,-0.013
3.213,-0.029,0.059,0.088,-0.015,-0.058,0.073,-0.042,-0.0965,-0.1085,-0.027,0.09,-0.0585,0.0675,0.105,-0.007
3.214,-0.039,0.0535,0.0925,-0.0075,-0.0655,0.0725,-0.037,-0.089,-0.103,-0.024,0.0935,-0.0555,0.068,0.0965,-0.0055
3.215,-0.0475,0.044,0.091,0.0015,-0.069,0.067,-0.0405,-0.0905,-0.106,-0.027,0.0905,-0.056,0.069,0.1,-0.002
3.216,-0.0335,0.07,0.104,-0.0185,-0.0685,0.0865,-0.0325,-0.0835,-0.0975,-0.017,0.1005,-0.044,0.0705,0.103,-0.0015
3.217,-0.0645,0.059,0.1235,0.0025,-0.0935,0.0905,-0.027,-0.0755,-0.0885,-0.009,0.107,-0.0395,0.0725,0.096,-0.0065
3.218,-0.1015,0.0595,0.161,0.0205,-0.131,0.11,-0.014,-0.0595,-0.07,0.0075,0.121,-0.0265,0.073,0.1105,-0.0105
3.219,-0.1105,0.0695,0.18,0.02,-0.1445,0.124,-0.0095,-0.0545,-0.0645,0.0125,0.1255,-0.023,0.074,0.111,-0.015
3.22,-0.0965,0.084,0.1805,0.006,-0.138,0.1315,-0.0105,-0.056,-0.0675,0.008,0.119,-0.03,0.0715,0.1155,-0.02
3.221,-0.034,0.097,0.131,-0.032,-0.082,0.1135,-0.021,-0.0675,-0.078,-0.0065,0.1035,-0.0465,0.0665,0.1235,-0.02
3.222,0.0185,0.087,0.068,-0.053,-0.0245,0.077,-0.0425,-0.084,-0.0965,-0.0245,0.0825,-0.0685,0.0665,0.129,-0.01
3.223,0.032,0.078,0.046,-0.0555,-0.0065,0.0615,-0.052,-0.09,-0.1005,-0.0335,0.072,-0.077,0.069,0.13,-0.0005
3.224,0.0235,0.072,0.0485,-0.048,-0.012,0.0595,-0.0495,-0.087,-0.0965,-0.0305,0.075,-0.0765,0.068,0.1145,-0.0055
3.225,0.002,0.071,0.069,-0.0365,-0.033,0.0695,-0.045,-0.08,-0.09,-0.0235,0.0785,-0.072,0.0675,0.1165,-0.012
3.226,-0.0035,0.0645,0.068,-0.031,-0.0355,0.0655,-0.039,-0.0725,-0.085,-0.0205,0.0805,-0.0715,0.0655,0.1095,-0.0145
3.227,0.0035,0.064,0.06,-0.034,-0.028,0.0615,-0.0325,-0.0645,-0.0795,-0.016,0.0845,-0.0685,0.064,0.1005,-0.017
3.228,0.007,0.071,0.064,-0.0395,-0.0285,0.067,-0.0235,-0.053,-0.0695,-0.0065,0.092,-0.062,0.0615,0.0995,-0.0205
3.229,-0.003,0.0655,0.069,-0.0315,-0.036,0.067,-0.022,-0.0495,-0.0665,-0.0025,0.093,-0.064,0.061,0.0945,-0.023
3.23,-0.0115,0.0565,0.068,-0.0225,-0.0395,0.0615,-0.0275,-0.052,-0.068,-0.006,0.0885,-0.0695,0.0615,0.098,-0.024
3.231,-0.0115,0.046,0.0575,-0.0175,-0.034,0.051,-0.024,-0.0465,-0.062,-0.0025,0.091,-0.068,0.058,0.0875,-0.0285
3.232,-0.0145,0.035,0.049,-0.0105,-0.0315,0.0415,-0.021,-0.0405,-0.0575,-0.0005,0.092,-0.068,0.0555,0.0745,-0.0255
3.233,-0.0235,0.037,0.0605,-0.007,-0.0415,0.048,-0.021,-0.034,-0.052,0.0055,0.094,-0.066,0.0555,0.0775,-0.031
3.234,-0.031,0.035,0.066,-0.0025,-0.048,0.05,-0.0185,-0.0295,-0.0465,0.009,0.0965,-0.0625,0.056,0.074,-0.0495
3.235,-0.042,0.031,0.073,0.005,-0.0575,0.052,-0.0135,-0.026,-0.046,0.01,0.098,-0.0645,0.055,0.0745,-0.047
3.236,-0.041,0.0385,0.079,0.001,-0.0595,0.058,-0.0155,-0.025,-0.0455,0.0115,0.098,-0.065,0.0565,0.0755,-0.038
3.237,-0.053,0.055,0.1075,-0.001,-0.08,0.0805,-0.0125,-0.0175,-0.037,0.018,0.105,-0.0575,0.057,0.0885,-0.0335
3.238,-0.084,0.0635,0.1475,0.01,-0.1155,0.105,0.001,-0.0015,-0.022,0.032,0.1175,-0.0455,0.0565,0.098,-0.0185
3.239,-0.0825,0.0525,0.135,0.0145,-0.1085,0.093,0.0035,0.001,-0.018,0.0325,0.1185,-0.047,0.0555,0.091,-0.0155
3.24,-0.0635,0.048,0.1115,0.0075,-0.087,0.079,-0.013,-0.012,-0.0305,0.0185,0.104,-0.062,0.056,0.105,-0.0135
3.241,-0.0035,0.0485,0.0515,-0.0225,-0.027,0.0495,-0.036,-0.0315,-0.0505,-0.003,0.081,-0.085,0.0575,0.114,-0.0125
3.242,0.052,0.0585,0.007,-0.0555,0.023,0.0325,-0.0445,-0.039,-0.0545,-0.0105,0.072,-0.1,0.0545,0.1195,-0.009
3.243,0.022,0.0635,0.042,-0.043,-0.0095,0.0525,-0.0335,-0.0245,-0.039,0.0035,0.084,-0.0895,0.056,0.118,-0.0015
3.244,-0.022,0.0605,0.0825,-0.0195,-0.052,0.071,-0.014,-0.0015,-0.018,0.022,0.1025,-0.071,0.0585,0.1075,-0.013
3.245,-0.0435,0.066,0.11,-0.0115,-0.0765,0.0875,-0.0005,0.011,-0.005,0.032,0.111,-0.059,0.06,0.111,-0.017
3.246,-0.0335,0.0675,0.1005,-0.0175,-0.067,0.0835,0.002,0.016,-0.0025,0.0305,0.109,-0.058,0.061,0.106,-0.011
3.247,0.0055,0.0655,0.0605,-0.036,-0.027,0.0625,-0.0105,0.006,-0.013,0.0185,0.096,-0.075,0.06,0.1065,-0.0125
3.248,0.0105,0.0555,0.045,-0.0335,-0.017,0.05,-0.021,-0.001,-0.018,0.013,0.087,-0.086,0.059,0.1105,-0.02
3.249,0.028,0.0555,0.0275,-0.042,0.0005,0.041,-0.0165,0.012,-0.0035,0.0255,0.0955,-0.079,0.065,0.093,-0.0205
3.25,0.0445,0.0655,0.021,-0.0555,0.012,0.0425,-0.014,0.019,0.0005,0.0305,0.098,-0.077,0.07,0.0905,-0.021
3.251,0.0205,0.06,0.04,-0.0405,-0.0095,0.0495,-0.011,0.0275,0.0065,0.0345,0.0985,-0.0775,0.067,0.0945,-0.025
3.252,0.01,0.0505,0.0405,-0.0305,-0.015,0.045,-0.003,0.0365,0.018,0.0425,0.1035,-0.071,0.0675,0.0945,-0.02
3.253,0.0065,0.0485,0.042,-0.0275,-0.0175,0.0445,0.002,0.0425,0.025,0.0465,0.1045,-0.0705,0.0685,0.099,-0.018
3.254,-0.005,0.0395,0.0445,-0.0175,-0.0245,0.0415,0.003,0.048,0.0305,0.049,0.105,-0.0735,0.0685,0.0865,-0.022
3.255,-0.0215,0.027,0.0485,-0.003,-0.035,0.0375,0.002,0.047,0.0305,0.047,0.1025,-0.0775,0.066,0.082,-0.0295
3.256,-0.023,0.0205,0.043,0.001,-0.0325,0.031,0.0025,0.0505,0.032,0.044,0.098,-0.082,0.0655,0.063,-0.032
3.257,-0.0125,0.0205,0.033,-0.0045,-0.0225,0.026,0.004,0.057,0.0345,0.043,0.099,-0.082,0.064,0.0515,-0.034
3.258,-0.0045,0.038,0.0425,-0.017,-0.023,0.04,0.005,0.0595,0.0375,0.043,0.0965,-0.085,0.0615,0.073,-0.036
3.259,0.014,0.0575,0.0435,-0.036,-0.0145,0.05,0.008,0.0675,0.045,0.047,0.0985,-0.0825,0.0645,0.076,-0.033
3.26,0.027,0.066,0.039,-0.047,-0.006,0.052,0.015,0.078,0.0545,0.0545,0.1055,-0.0755,0.0625,0.073,-0.035
3.261,0.035,0.0635,0.0285,-0.0495,0.0035,0.0455,0.016,0.0795,0.0595,0.056,0.1045,-0.0775,0.0625,0.0745,-0.03
3.262,0.023,0.064,0.041,-0.044,-0.0085,0.052,0.017,0.087,0.066,0.0615,0.107,-0.074,0.0645,0.0825,-0.029
3.263,0.0075,0.0615,0.0545,-0.0345,-0.0235,0.0575,0.0245,0.098,0.077,0.0725,0.1165,-0.0665,0.0655,0.084,-0.0335
3.264,0.003,0.0465,0.0435,-0.025,-0.02,0.0445,0.025,0.1,0.0825,0.074,0.1145,-0.0715,0.065,0.083,-0.033
3.265,0.016,0.0575,0.042,-0.037,-0.013,0.049,0.0185,0.0985,0.081,0.0695,0.105,-0.0825,0.064,0.1005,-0.0325
3.266,0.0405,0.0795,0.039,-0.06,0.001,0.0585,0.015,0.0995,0.081,0.067,0.1005,-0.0875,0.064,0.1105,-0.0355
3.267,0.0495,0.0905,0.041,-0.07,0.0045,0.065,0.0225,0.1135,0.092,0.0765,0.1065,-0.0815,0.064,0.095,-0.0385
3.268,0.0515,0.092,0.041,-0.072,0.0055,0.066,0.03,0.1285,0.105,0.088,0.116,-0.073,0.069,0.0735,-0.039
3.269,0.043,0.0765,0.0335,-0.06,0.005,0.0545,0.031,0.1325,0.1065,0.0875,0.115,-0.075,0.07,0.0745,-0.043
3.27,0.029,0.053,0.024,-0.041,0.003,0.038,0.0295,0.135,0.109,0.089,0.112,-0.079,0.0705,0.0795,-0.0425
3.271,0.019,0.0375,0.0185,-0.0285,0.0005,0.0275,0.0305,0.1395,0.114,0.0915,0.11,-0.0825,0.0695,0.0765,-0.0425
3.272,0.022,0.046,0.024,-0.0345,-0.0005,0.0345,0.033,0.147,0.121,0.094,0.11,-0.0825,0.069,0.08,-0.044
3.273,0.022,0.0595,0.0375,-0.041,-0.0075,0.048,0.039,0.1585,0.1325,0.1015,0.115,-0.078,0.07,0.076,-0.049
3.274,0.0295,0.0615,0.0325,-0.0455,-0.0015,0.0465,0.0395,0.16,0.134,0.1005,0.1105,-0.085,0.0665,0.067,-0.0615
3.275,0.0445,0.065,0.0205,-0.055,0.012,0.042,0.0335,0.158,0.135,0.096,0.1025,-0.093,0.069,0.0685,-0.074
3.276,0.043,0.0605,0.0175,-0.052,0.013,0.0385,0.0345,0.163,0.1405,0.0965,0.103,-0.0955,0.0705,0.0615,-0.087
3.277,0.0425,0.0445,0.0015,-0.0435,0.021,0.0225,0.037,0.174,0.1505,0.1005,0.1055,-0.0965,0.0675,0.055,-0.0875
3.278,0.0375,0.0455,0.008,-0.0415,0.015,0.026,0.043,0.184,0.161,0.106,0.1085,-0.094,0.068,0.054,-0.0855
3.279,0.021,0.0445,0.024,-0.033,-0.001,0.0335,0.0445,0.187,0.1655,0.1055,0.104,-0.0975,0.067,0.054,-0.0875
3.28,0.031,0.043,0.0115,-0.0375,0.01,0.027,0.0405,0.189,0.1685,0.1025,0.099,-0.102,0.0655,0.062,-0.084
3.281,0.0495,0.05,0.0005,-0.05,0.025,0.0245,0.044,0.197,0.174,0.106,0.102,-0.101,0.0635,0.056,-0.0875
3.282,0.054,0.049,-0.0055,-0.0515,0.03,0.021,0.045,0.2025,0.1785,0.1075,0.1005,-0.1025,0.0655,0.061,-0.0805
3.283,0.052,0.0455,-0.006,-0.049,0.0295,0.019,0.0495,0.209,0.185,0.1105,0.102,-0.1025,0.0675,0.072,-0.0645
3.284,0.03,0.034,0.004,-0.0325,0.0135,0.0185,0.0625,0.221,0.1945,0.1195,0.1095,-0.097,0.0645,0.06,-0.057
3.285,0.0215,0.032,0.0105,-0.027,0.0055,0.021,0.0605,0.225,0.197,0.1185,0.106,-0.0995,0.0645,0.0515,-0.0515
3.286,0.0355,0.033,-0.003,-0.0345,0.0195,0.015,0.0645,0.233,0.202,0.121,0.107,-0.1,0.068,0.0485,-0.055
3.287,0.0455,0.014,-0.032,-0.03,0.039,-0.009,0.0695,0.24,0.206,0.125,0.1105,-0.099,0.0705,0.0285,-0.061
3.288,0.0485,0.016,-0.032,-0.0325,0.0405,-0.008,0.0655,0.2435,0.21,0.126,0.11,-0.0995,0.069,0.025,-0.0645
3.289,0.042,0.04,-0.002,-0.041,0.0225,0.0185,0.0735,0.2555,0.2205,0.135,0.1175,-0.0925,0.0695,0.0455,-0.0715
3.29,0.035,0.0505,0.015,-0.043,0.0105,0.0325,0.0825,0.269,0.231,0.144,0.124,-0.087,0.0705,0.048,-0.072
3.291,0.0325,0.051,0.019,-0.042,0.007,0.0345,0.084,0.2745,0.2355,0.146,0.125,-0.087,0.0705,0.047,-0.0765
3.292,0.023,0.0275,0.0045,-0.0255,0.0095,0.0155,0.083,0.273,0.234,0.14,0.119,-0.094,0.0705,0.046,-0.089
3.293,0.0675,0.024,-0.0435,-0.046,0.056,-0.0095,0.0805,0.2755,0.235,0.14,0.1155,-0.0985,0.072,0.0395,-0.0975
3.294,0.0975,0.0345,-0.0625,-0.0665,0.08,-0.014,0.077,0.2785,0.2375,0.138,0.112,-0.1015,0.0745,0.0485,-0.0955
3.295,0.062,0.025,-0.037,-0.044,0.0495,-0.006,0.076,0.281,0.2425,0.139,0.1095,-0.104,0.073,0.068,-0.084
3.296,0.05,0.034,-0.0155,-0.042,0.033,0.009,0.083,0.2915,0.2505,0.146,0.115,-0.1005,0.0725,0.0725,-0.0785
3.297,0.0325,0.042,0.0095,-0.037,0.0115,0.025,0.093,0.3045,0.2625,0.1545,0.1205,-0.0955,0.073,0.0725,-0.078
3.298,0.012,0.0535,0.0415,-0.033,-0.0145,0.047,0.0925,0.306,0.265,0.154,0.1195,-0.098,0.0705,0.0825,-0.0815
3.299,0.021,0.0565,0.036,-0.039,-0.0075,0.046,0.088,0.303,0.26,0.146,0.1095,-0.107,0.0695,0.0745,-0.0835
3.3,0.0525,0.0425,-0.0105,-0.0475,0.0315,0.0155,0.0825,0.3,0.2565,0.1385,0.0985,-0.1175,0.0685,0.0665,-0.076
3.301,0.0565,0.0315,-0.025,-0.0445,0.041,0.0035,0.086,0.3055,0.259,0.139,0.0965,-0.121,0.0635,0.062,-0.0745
3.302,0.05,0.033,-0.0175,-0.042,0.034,0.008,0.0885,0.311,0.2625,0.1415,0.095,-0.1235,0.062,0.0505,-0.0815
3.303,0.0545,0.041,-0.0135,-0.048,0.0345,0.0135,0.091,0.3155,0.2685,0.144,0.094,-0.126,0.0635,0.0525,-0.09
3.304,0.0405,0.034,-0.0065,-0.038,0.024,0.0135,0.1015,0.3285,0.283,0.1565,0.101,-0.1205,0.064,0.0585,-0.0955
3.305,0.035,0.0365,0.0015,-0.036,0.017,0.0185,0.1025,0.3355,0.291,0.16,0.102,-0.121,0.066,0.0625,-0.098
3.306,0.038,0.0315,-0.0065,-0.035,0.0225,0.012,0.1045,0.342,0.2965,0.1605,0.1005,-0.1225,0.067,0.065,-0.088
3.307,0.0395,0.0085,-0.031,-0.024,0.0355,-0.0115,0.1135,0.351,0.3025,0.1655,0.103,-0.121,0.063,0.0565,-0.079
3.308,0.0515,0.0025,-0.049,-0.027,0.0505,-0.0235,0.1185,0.3575,0.305,0.1645,0.0995,-0.1225,0.0605,0.0375,-0.079
3.309,0.047,-0.003,-0.0505,-0.0225,0.049,-0.0265,0.1235,0.3665,0.3135,0.166,0.0995,-0.1225,0.0605,0.028,-0.083
3.31,0.037,0.011,-0.026,-0.0245,0.032,-0.0075,0.14,0.384,0.3295,0.176,0.111,-0.113,0.0565,0.0285,-0.094
3.311,0.0385,0.0125,-0.026,-0.026,0.0325,-0.007,0.1505,0.3965,0.342,0.1865,0.118,-0.106,0.057,0.0305,-0.1005
3.312,0.0405,-0.0185,-0.0585,-0.0115,0.0495,-0.0385,0.1375,0.391,0.3355,0.1815,0.1065,-0.1185,0.0595,0.0245,-0.101
3.313,0.081,-0.004,-0.0855,-0.0385,0.0835,-0.045,0.1165,0.3745,0.3175,0.163,0.0845,-0.142,0.057,0.027,-0.1065
3.314,0.107,0.004,-0.103,-0.0555,0.105,-0.0495,0.115,0.3715,0.3145,0.157,0.0775,-0.1495,0.056,0.0315,-0.1165
3.315,0.098,-0.0065,-0.1045,-0.0465,0.1015,-0.055,0.123,0.3795,0.322,0.162,0.084,-0.1455,0.0565,0.0185,-0.119
3.316,0.0695,-0.011,-0.08,-0.0295,0.075,-0.0455,0.1235,0.3845,0.325,0.1615,0.0825,-0.146,0.056,0.0135,-0.123
